School,Common name,Nickname,City,State,Type,Subdivision,Primary
Bryant University,Bryant,Bulldogs,Smithfield,RI,Private,FCS,America East Conference[FB 3]
State University of New York at Albany[N 12],Albany[N 13],Great Danes,Albany,NY,Public,FCS,America East Conference[FB 3]
University of Maine,Maine,Black Bears,Orono,ME,Public,FCS,America East Conference[FB 3]
University of New Hampshire,New Hampshire,Wildcats,Durham,NH,Public,FCS,America East Conference[FB 3]
Davidson College,Davidson,Wildcats,Davidson,NC,Private,FCS,Atlantic 10 Conference[FB 8]
Duquesne University of the Holy Spirit,Duquesne,Dukes,Pittsburgh,PA,Private,FCS,Atlantic 10 Conference[FB 8]
Fordham University,Fordham,Rams,Bronx,NY,Private,FCS,Atlantic 10 Conference[FB 8]
University of Dayton,Dayton,Flyers,Dayton,OH,Private,FCS,Atlantic 10 Conference[FB 8]
University of Rhode Island,Rhode Island,Rams,Kingston,RI,Public,FCS,Atlantic 10 Conference[FB 8]
University of Richmond,Richmond,Spiders,Richmond,VA,Private,FCS,Atlantic 10 Conference[FB 8]
Stetson University,Stetson,Hatters,DeLand,FL,Private,FCS,Atlantic Sun Conference[FB 1]
Austin Peay State University,Austin Peay,Governors,Clarksville,TN,Public,FCS,Atlantic Sun Conference[FB 1][C 2]
Eastern Kentucky University,Eastern Kentucky,Colonels,Richmond,KY,Public,FCS,Atlantic Sun Conference[FB 1][C 2]
University of Central Arkansas,Central Arkansas,Bears[n],Conway,AR,Public,FCS,Atlantic Sun Conference[FB 1][C 2]
University of North Alabama,North Alabama,Lions,Florence,AL,Public,FCS,Atlantic Sun Conference[FB 1][C 2]
Butler University,Butler,Bulldogs,Indianapolis,IN,Private,FCS,Big East Conference[FB 4]
Georgetown University,Georgetown,Hoyas,Washington,DC,Private,FCS,Big East Conference[FB 4]
Villanova University,Villanova,Wildcats,Villanova[L 30],PA,Private,FCS,Big East Conference[FB 4]
Eastern Washington University,Eastern Washington,Eagles,Cheney,WA,Public,FCS,Big Sky Conference
Idaho State University,Idaho State,Bengals,Pocatello,ID,Public,FCS,Big Sky Conference
Montana State University,Montana State,Bobcats,Bozeman,MT,Public,FCS,Big Sky Conference
Northern Arizona University,Northern Arizona,Lumberjacks,Flagstaff,AZ,Public,FCS,Big Sky Conference
Portland State University,Portland State,Vikings,Portland,OR,Public,FCS,Big Sky Conference
University of Idaho,Idaho,Vandals,Moscow,ID,Public,FCS,Big Sky Conference
University of Montana,Montana,Grizzlies[ak],Missoula,MT,Public,FCS,Big Sky Conference
University of Northern Colorado,Northern Colorado,Bears,Greeley,CO,Public,FCS,Big Sky Conference
Weber State University,Weber State,Wildcats,Ogden,UT,Public,FCS,Big Sky Conference
"California State University, Sacramento",Sacramento State,Hornets,Sacramento,CA,Public,FCS[C 5],Big Sky Conference[C 4]
Charleston Southern University,Charleston Southern,Buccaneers,North Charleston,SC,Private,FCS,Big South Conference
Gardner–Webb University,Gardner–Webb,Runnin' Bulldogs,Boiling Springs,NC,Private,FCS,Big South Conference
Presbyterian College,Presbyterian,Blue Hose,Clinton,SC,Private,FCS,Big South Conference[FB 11]
California Polytechnic State University,Cal Poly,Mustangs,San Luis Obispo,CA,Public,FCS,Big West Conference[FB 5]
"University of California, Davis",UC Davis,Aggies,Davis,CA,Public,FCS,Big West Conference[FB 5][C 11]
Campbell University,Campbell,Fighting Camels,Buies Creek,NC,Private,FCS,Coastal Athletic Association[FB 6]
Elon University,Elon,Phoenix,Elon,NC,Private,FCS,Coastal Athletic Association[FB 6]
Hampton University,Hampton,Pirates[q],Hampton,VA,Private,FCS,Coastal Athletic Association[FB 6]
